compound,chembl_id
emodin,CHEMBL289277
aloe-emodin,CHEMBL40275
rhein,CHEMBL418068
chrysophanol,CHEMBL41092
physcion,CHEMBL42624
emodin-8-glucoside,CHEMBL464360
torachrysone,CHEMBL2204398
sennoside A,CHEMBL2368547
baicalein,CHEMBL8260
baicalin,CHEMBL485818
wogonin,CHEMBL16171
wogonoside,CHEMBL464732
oroxylin A,CHEMBL183513
scutellarein,CHEMBL55415
skullcapflavone II,CHEMBL465561
glycyrrhizic acid,CHEMBL441687
liquiritigenin,CHEMBL252642
isoliquiritigenin,CHEMBL129795
formononetin,CHEMBL242341
glabridin,CHEMBL480477
licochalcone A,CHEMBL139702
glycyrol,CHEMBL132695
paeoniflorin,CHEMBL4303209
paeonol,CHEMBL1079227
(+)-catechin,CHEMBL311498
benzoic acid,CHEMBL541
amygdalin,CHEMBL461727
prunasin,CHEMBL1778417
oleic acid,CHEMBL8659
catalpol,CHEMBL513223
aucubin,CHEMBL514882
acteoside,CHEMBL444478
fisetin,CHEMBL31574
butein,CHEMBL128000
butin,CHEMBL451168
sulfuretin,CHEMBL490355
gallic acid,CHEMBL288114
quercetin,CHEMBL50
kaempferol,CHEMBL150
luteolin,CHEMBL151
beta-sitosterol,CHEMBL221542
stigmasterol,CHEMBL400247
naringenin,CHEMBL9352
medicarpin,CHEMBL238845
apigenin,CHEMBL28
