compound,gene,max_pchembl
emodin,ESR1,6.11
emodin,ESR2,5.82
emodin,CSNK2A1,6.05
emodin,LMNA,8.25
emodin,TSHR,5.6
emodin,MAPT,5.05
emodin,CYP2C19,5.1
emodin,HIF1A,5.0
emodin,ALOX15,5.0
emodin,BLM,5.45
emodin,HSD17B10,6.4
emodin,CYP3A4,5.0
emodin,CYP2C9,5.4
emodin,PTP4A3,5.46
emodin,PIM1,5.6
emodin,AKR1B1,5.67
emodin,CYP1A2,5.43
emodin,PSMB5,5.91
emodin,PSMB1,6.62
emodin,HDAC6,5.97
emodin,MAOA,5.37
emodin,MAOB,5.49
emodin,FTO,5.34
emodin,CYP1B1,5.43
aloe-emodin,MAOA,5.75
rhein,RECQL,5.5
rhein,SMN1,5.55
rhein,TDP1,6.3
rhein,MAPT,5.0
rhein,CYP3A4,5.0
rhein,ALKBH5,5.05
rhein,FTO,5.66
rhein,ALKBH2,5.04
rhein,ALKBH3,5.28
chrysophanol,RECQL,5.15
chrysophanol,MAPT,5.65
chrysophanol,MAPK1,5.5
physcion,ELANE,5.21
physcion,MAPT,5.45
emodin-8-glucoside,ESR1,5.24
baicalein,ALOX12,6.07
baicalein,ALOX15,6.22
baicalein,XDH,5.55
baicalein,RECQL,5.3
baicalein,HSD17B10,5.7
baicalein,KDM4E,6.05
baicalein,APEX1,6.2
baicalein,MAPT,5.1
baicalein,CYP2C19,5.3
baicalein,USP2,6.2
baicalein,HPGD,5.5
baicalein,TP53,6.2
baicalein,BLM,5.2
baicalein,CYP2C9,5.3
baicalein,CYP1A2,6.3
baicalein,CYP1A1,5.91
baicalein,CYP1B1,6.58
baicalein,UGT1A1,5.36
baicalein,GRK6,5.06
baicalein,CYP3A4,5.04
baicalein,YES1,5.48
baicalein,SNCA,5.09
baicalein,HDAC6,5.92
baicalein,PLK1,5.05
baicalein,HDAC8,5.4
baicalin,KDM1A,5.52
baicalin,PLK1,5.44
wogonin,KDM1A,5.05
wogonin,CDK2,5.84
wogonin,PKM,5.7
wogonin,CDK9,6.72
wogonoside,KDM1A,5.53
oroxylin A,CREB1,5.66
oroxylin A,FLT3,5.83
oroxylin A,SLCO2B1,5.15
scutellarein,AMY1A,5.02
scutellarein,CYP1A1,5.79
scutellarein,CYP1B1,6.66
scutellarein,GRK6,5.18
scutellarein,PTPRS,6.22
scutellarein,SETD7,5.71
scutellarein,EZH1,5.06
scutellarein,KMT2A,5.54
scutellarein,NSD2,5.58
scutellarein,SLCO2B1,6.46
glycyrrhizic acid,HSD11B1,8.22
glycyrrhizic acid,HSD11B2,9.4
liquiritigenin,CYP19A1,6.47
liquiritigenin,ESR2,7.44
isoliquiritigenin,GBA1,5.4
isoliquiritigenin,LMNA,5.2
isoliquiritigenin,CYP2C19,5.4
isoliquiritigenin,MAPT,5.45
isoliquiritigenin,CYP3A4,5.4
isoliquiritigenin,CYP2C9,5.1
isoliquiritigenin,AKR1B1,6.5
isoliquiritigenin,HSD17B2,6.44
isoliquiritigenin,HSD17B1,5.55
isoliquiritigenin,CYP19A1,5.55
isoliquiritigenin,ESR1,5.73
isoliquiritigenin,ESR2,6.57
isoliquiritigenin,NLRP3,5.81
isoliquiritigenin,PSMB5,5.31
isoliquiritigenin,MMP13,7.85
isoliquiritigenin,MMP9,8.0
isoliquiritigenin,MMP7,8.1
isoliquiritigenin,MMP3,7.09
isoliquiritigenin,MMP2,8.0
isoliquiritigenin,MMP1,7.8
isoliquiritigenin,DAPK1,5.61
formononetin,CYP2C19,5.1
formononetin,MAPT,5.3
formononetin,TP53,5.8
formononetin,CYP2D6,5.0
formononetin,CYP2C9,8.0
formononetin,IL2,5.26
formononetin,CYP1B1,5.43
formononetin,HDAC6,6.54
formononetin,BCL2,8.0
glabridin,CYP3A4,5.16
glabridin,TTR,5.19
glabridin,TYR,7.05
licochalcone A,IDH1,5.55
licochalcone A,UGT1A1,6.01
licochalcone A,ABCG2,8.21
paeonol,MAPK1,5.2
paeonol,CYP3A4,5.9
(+)-catechin,SOST,5.8
benzoic acid,TSHR,5.0
benzoic acid,DAO,5.7
benzoic acid,NAPRT,8.72
oleic acid,FABP4,6.73
oleic acid,FABP5,6.61
oleic acid,FAAH,5.22
oleic acid,FABP1,6.7
oleic acid,PPARA,6.22
oleic acid,PPARD,5.28
oleic acid,PPARG,5.39
oleic acid,TERT,5.07
oleic acid,PTPN1,5.21
oleic acid,PTGS1,5.45
oleic acid,FLT3,6.29
aucubin,L3MBTL1,7.2
acteoside,PRKCA,5.03
acteoside,BACE1,8.2
acteoside,KDM1A,5.44
fisetin,CDK6,6.07
fisetin,CDK2,5.3
fisetin,ALOX12,6.02
fisetin,ALOX15,5.85
fisetin,XDH,5.36
fisetin,RECQL,5.5
fisetin,APEX1,6.05
fisetin,MAPT,5.3
fisetin,CREBBP,5.1
fisetin,HPGD,5.05
fisetin,MAPK1,5.1
fisetin,HSD17B10,5.9
fisetin,TP53,5.7
fisetin,ACHE,7.92
fisetin,CSNK2A1,6.46
fisetin,HDAC6,5.64
fisetin,PKM,6.05
fisetin,SLCO2B1,5.17
fisetin,RPS6KA1,5.42
fisetin,RPS6KA3,5.56
fisetin,RPS6KA2,6.05
fisetin,FTO,5.04
butein,EGFR,5.1
butein,HSD17B2,5.14
butein,HDAC6,5.67
butein,PIK3CA,5.19
butein,AKR1B1,6.3
butin,CYP19A1,5.02
sulfuretin,MCL1,5.81
sulfuretin,NPC1,5.25
sulfuretin,STK17B,5.99
sulfuretin,STK17A,5.23
sulfuretin,DAPK2,5.51
sulfuretin,DAPK3,5.63
sulfuretin,BLK,5.54
sulfuretin,ITK,5.7
sulfuretin,TEK,6.02
sulfuretin,JAK2,5.03
sulfuretin,JAK3,5.37
sulfuretin,SYK,5.33
sulfuretin,AURKA,6.07
sulfuretin,BTK,5.22
sulfuretin,CDK4,5.55
sulfuretin,CDK5,5.82
sulfuretin,CDK6,5.61
sulfuretin,CDK9,5.67
sulfuretin,GSK3B,5.71
sulfuretin,MAOA,5.38
gallic acid,CA14,5.15
gallic acid,CA12,5.11
gallic acid,CA9,5.16
gallic acid,CA7,5.22
gallic acid,CA6,5.21
gallic acid,CA5B,5.0
gallic acid,CA5A,5.39
gallic acid,CA4,5.01
gallic acid,CA3,5.13
gallic acid,CA2,5.65
gallic acid,CA1,5.5
gallic acid,LMNA,6.55
gallic acid,KDM4E,6.45
gallic acid,TDP1,6.0
gallic acid,MAPT,5.9
gallic acid,ALDH1A1,5.7
gallic acid,HPGD,5.15
gallic acid,HSD17B10,7.3
gallic acid,TP53,5.0
gallic acid,FUT7,7.22
gallic acid,DPP4,5.33
gallic acid,GALNT2,6.03
gallic acid,SNCA,5.35
quercetin,PIM1,7.6
quercetin,ALOX5,6.1
quercetin,ALOX12,6.36
quercetin,ALOX15,6.1
quercetin,PIK3R1,5.42
quercetin,PLA2G1B,5.7
quercetin,AKR1B1,7.83
quercetin,GLO1,5.5
quercetin,XDH,6.55
quercetin,HSD17B2,5.81
quercetin,EGFR,6.05
quercetin,ABCC1,5.62
quercetin,CSNK2A1,5.93
quercetin,MAOA,5.82
quercetin,CA4,5.1
quercetin,CA3,5.09
quercetin,CA2,5.59
quercetin,CA1,5.57
quercetin,CA5A,5.17
quercetin,CA6,5.21
quercetin,CA7,5.32
quercetin,CA9,5.16
quercetin,CA12,5.03
quercetin,CA14,5.27
quercetin,DRD4,5.11
quercetin,CYP19A1,7.92
quercetin,CYP1A2,6.5
quercetin,CYP1A1,6.18
quercetin,CYP1B1,7.64
quercetin,NOX4,6.17
quercetin,CDK1,6.35
quercetin,NFKB1,5.25
quercetin,RECQL,6.2
quercetin,HSD17B10,6.9
quercetin,KDM4E,5.05
quercetin,TSHR,5.0
quercetin,MAPT,5.6
quercetin,HIF1A,5.0
quercetin,STAT6,5.6
quercetin,HPGD,5.05
quercetin,TP53,6.0
quercetin,NPSR1,6.8
quercetin,CYP3A4,5.68
quercetin,CYP2C9,5.1
quercetin,POLB,6.7
quercetin,ABCG2,7.52
quercetin,ABCB1,5.15
quercetin,GPR35,5.23
quercetin,MMP2,5.17
quercetin,MMP3,5.25
quercetin,MMP9,6.76
quercetin,MMP13,5.07
quercetin,CAMK2B,5.52
quercetin,MPO,5.94
quercetin,GSK3B,5.7
quercetin,BACE1,6.26
quercetin,AVPR2,5.2
quercetin,CXCR1,5.35
quercetin,CCR4,5.0
quercetin,FLT3,6.23
quercetin,F2,7.41
