gene,max_assoc_score,top_disease
PROC,0.88544,thrombophilia
PROS1,0.87841,thrombophilia
ADAMTS13,0.8745,thrombophilia
SERPINC1,0.85357,thrombophilia
F5,0.81248,thrombophilia
F2,0.79515,thrombophilia
F9,0.76227,thrombophilia
F10,0.7258,venous thromboembolism
SERPIND1,0.72193,thrombophilia
THBD,0.71905,thrombophilia
HRG,0.7122,thrombophilia
F8,0.69862,thrombophilia
F11,0.64422,venous thromboembolism
PLAT,0.60687,pulmonary embolism
VKORC1,0.5955,thrombotic disease
VWF,0.57884,thrombophilia
PLCG2,0.57444,venous thromboembolism
ABO,0.559,venous thromboembolism
MTHFR,0.55303,thrombophilia
PROCR,0.55261,venous thromboembolism
FGG,0.55257,thrombophilia
P2RY12,0.54012,thrombotic disease
C4BPB,0.53495,venous thromboembolism
CPS1,0.51876,venous thromboembolism
GRK5,0.51773,venous thromboembolism
FGA,0.51276,thrombophilia
KNG1,0.50354,venous thromboembolism
KLKB1,0.50075,venous thromboembolism
ATP1B1,0.50054,thrombophilia
SH2B3,0.49941,venous thromboembolism
F13A1,0.49675,thrombophilia
SCARA5,0.49658,venous thromboembolism
SERPINE2,0.49501,venous thromboembolism
GP6,0.49373,venous thromboembolism
PLEK,0.49134,venous thromboembolism
RC3H1,0.48683,thrombophilia
ZBTB37,0.48683,thrombophilia
TRIM58,0.48119,venous thromboembolism
TSPAN15,0.47888,venous thromboembolism
PI4KA,0.47757,thrombophilia
STAB2,0.47268,venous thromboembolism
PTGS2,0.46805,thrombotic disease
PTGS1,0.46775,thrombotic disease
FUT2,0.46595,venous thromboembolism
FGB,0.46457,thrombophilia
ATP4A,0.46197,thrombotic disease
ATP4B,0.46197,thrombotic disease
FLG,0.45855,deep vein thrombosis
ZFPM2,0.44455,venous thromboembolism
IL33,0.44363,deep vein thrombosis
EPHA3,0.43369,pulmonary embolism
TIMP3,0.43156,venous thromboembolism
STXBP5,0.4278,venous thromboembolism
TENT5C,0.42689,venous thromboembolism
TC2N,0.4249,venous thromboembolism
CELSR2,0.42239,venous thromboembolism
JAK2,0.42114,deep vein thrombosis
TNFRSF8,0.41735,deep vein thrombosis
ENSG00000293562,0.41578,thrombophilia
JAZF1,0.41407,venous thromboembolism
TNFSF4,0.4094,deep vein thrombosis
ZNF217,0.40613,deep vein thrombosis
A4GALT,0.40472,deep vein thrombosis
RUNX3,0.40395,deep vein thrombosis
CYP4V2,0.40303,venous thromboembolism
KIFAP3,0.40014,deep vein thrombosis
SERPINA1,0.39978,venous thromboembolism
NR3C1,0.39764,deep vein thrombosis
HSPA4,0.39491,venous thromboembolism
VWA3B,0.39307,thrombophilia
MROH9,0.39244,thrombophilia
SLC44A2,0.3907,venous thromboembolism
ABCA5,0.39061,venous thromboembolism
PCP4,0.38888,thrombophilia
C4BPA,0.38775,venous thromboembolism
XXYLT1,0.38695,venous thromboembolism
HBB,0.38621,pulmonary embolism
DGKZ,0.38341,venous thromboembolism
LRP4,0.38336,venous thromboembolism
OR4X1,0.38306,thrombophilia
ANO1,0.3822,thrombophilia
ZFPM1,0.38174,venous thromboembolism
KLF5,0.38063,deep vein thrombosis
GDF5,0.38032,venous thromboembolism
SORT1,0.37941,venous thromboembolism
NFKB1,0.37852,deep vein thrombosis
ARHGAP24,0.37819,venous thromboembolism
CATSPERB,0.37816,venous thromboembolism
PLG,0.3751,pulmonary embolism
NUGGC,0.37381,venous thromboembolism
SH3GL2,0.37031,venous thromboembolism
PDE3A,0.36958,thrombotic disease
PDE3B,0.36958,thrombotic disease
INHBB,0.36904,deep vein thrombosis
IL6R,0.36843,deep vein thrombosis
LPP,0.36436,deep vein thrombosis
IL7R,0.36406,deep vein thrombosis
