herb_en,herb_zh
"Dahuang (Rhei Radix et Rhizoma, Rhubarb)",大黄
"Tubiechong (Eupolyphaga/Steleophaga, Ground beetle)",土鳖虫
"Shuizhi (Hirudo, Leech)",水蛭
"Mengchong (Tabanus, Gadfly)",虻虫
"Qicao (Holotrichia, Grub)",蛴螬
"Ganqi (Toxicodendri Resina, Dried lacquer)",干漆
"Taoren (Persicae Semen, Peach kernel)",桃仁
"Kuxingren (Armeniacae Semen Amarum, Apricot kernel)",苦杏仁
Huangqin (Scutellariae Radix),黄芩
Dihuang (Rehmanniae Radix),地黄
Baishao (Paeoniae Radix Alba),白芍
"Gancao (Glycyrrhizae Radix, Licorice)",甘草
