constituent,herb,dose_mg,dose_umol,Igut_uM,Cmax_u_uM,note,CYP3A4_Ki_uM,CYP3A4_Igut/Ki,CYP3A4_R1sys,ABCB1/P-gp_Ki_uM,ABCB1/P-gp_Igut/Ki,ABCB1/P-gp_R1sys,ABCG2/BCRP_Ki_uM,ABCG2/BCRP_Igut/Ki,ABCG2/BCRP_R1sys
emodin,大黄,0.162,0.601,2.403,3e-05,游离蒽醌~0.1%,10.0,0.24,1.0,,,,,,
baicalein,黄芩,0.162,0.601,2.403,3e-05,苷元~0.5%(苷 baicalin 更高但非该抑制剂),9.2,0.26,1.0,41.0,0.06,1.0,,,
quercetin,黄芩,0.006,0.021,0.086,0.0,"游离槲皮素极低,多为糖苷",2.11,0.04,1.0,7.0795,0.01,1.0,0.03,2.86,1.0
apigenin,黄芩,0.006,0.024,0.096,0.0,游离芹菜素低,1.2589,0.08,1.0,10.0,0.01,1.0,3.1,0.03,1.0
kaempferol,甘草,0.01,0.034,0.136,0.0,游离低,7.9433,0.02,1.0,6.7608,0.02,1.0,4.7,0.03,1.0
luteolin,黄芩,0.006,0.023,0.091,0.0,游离低,5.0119,0.02,1.0,19.6,0.0,1.0,8.9,0.01,1.0
isoliquiritigenin,甘草,0.015,0.057,0.228,0.0,"查耳酮,低",3.9811,0.06,1.0,,,,,,
licochalcone A,甘草,0.01,0.029,0.115,0.0,"仅胀果甘草含量高,乌拉尔甘草极低-高度不确定",,,,94.92,0.0,1.0,0.0062,18.51,1.0002
naringenin,甘草,0.015,0.054,0.215,0.0,低,5.0119,0.04,1.0,,,,,,
glabridin,甘草,0.049,0.15,0.601,1e-05,"光甘草定,光果甘草-不确定",7.0,0.09,1.0,,,,,,
