library,term,pval,adj_pval,combined_score,n_genes,genes
GO_BP,Protein Phosphorylation (GO:0006468),3.7769315322163776e-21,7.13084673282452e-18,646.07,29,ALK;APP;GSK3B;TNKS;SRC;FLT3;EGFR;IGF1R;GRK6;KDR;PIM1;AKT1;MAPK1;NEK2;JAK2;JAK3;SYK;DAPK1;NEK6;PRKCA;BRAF;PTK2;CREB1;CDK6;CDK5;CDK4;BTK;CDK1;TEK
GO_BP,Negative Regulation Of Programmed Cell Death (GO:0043069),2.2538803671289394e-18,2.1060128882191906e-15,579.8,24,GSK3B;SRC;BRAF;PIK3R1;MPO;MMP9;EGFR;NFKB1;PTK2;IL2;IGF1R;AXL;KDR;PIM1;BCL2;CDK1;AKT1;CD38;CTNNB1;TEK;TP53;MET;SNCA;MCL1
GO_BP,Negative Regulation Of Apoptotic Process (GO:0043066),3.3464187842465953e-18,2.1060128882191906e-15,495.26,26,GSK3B;SRC;ALOX12;PIK3R1;MPO;EGFR;IGF1R;KDR;PIM1;AKT1;CD38;SNCA;MCL1;PRKCA;BRAF;MMP9;NFKB1;PTK2;IL2;PIK3CA;AXL;BCL2;CDK1;CTNNB1;TEK;TP53
GO_BP,Regulation Of Apoptotic Process (GO:0042981),4.2207184884143735e-17,1.992179126531584e-14,357.11,29,ALK;GSK3B;SRC;FLT3;PIK3R1;MPO;EGFR;IGF1R;KDR;PIM1;AKT1;CD38;JAK3;SNCA;MCL1;DAPK1;BRAF;MMP9;NFKB1;PTK2;IL2;CDK5;AXL;APEX1;BCL2;CDK1;CTNNB1;TEK;TP53
GO_BP,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),2.354270568995824e-16,8.889725668528231e-14,557.16,20,ALK;GSK3B;SYK;SRC;FLT3;MMP2;PIK3R1;MMP9;EGFR;PTK2;IGF1R;PIK3CA;AXL;APEX1;KDR;AKT1;MAPK1;TEK;JAK2;MET
GO_BP,Phosphorylation (GO:0016310),4.239886423300488e-16,1.3341509278652204e-13,419.98,23,ALK;APP;GSK3B;SYK;DAPK1;NEK6;PRKCA;BRAF;PTK2;CREB1;CDK6;CDK5;PIK3CA;CDK4;GRK6;BTK;PIM1;CDK1;AKT1;MAPK1;NEK2;JAK2;JAK3
GO_BP,Peptidyl-Tyrosine Phosphorylation (GO:0018108),3.711279389780781e-15,1.0009850697008735e-12,1382.24,12,ALK;SYK;FLT3;SRC;KDR;BTK;TEK;JAK2;JAK3;EGFR;PTK2;IGF1R
GO_BP,Protein Autophosphorylation (GO:0046777),2.985585555696493e-14,7.045981911443724e-12,620.99,15,ALK;GSK3B;DAPK1;SRC;FLT3;NEK6;EGFR;PTK2;IGF1R;KDR;PIM1;AKT1;NEK2;TEK;JAK2
GO_BP,Peptidyl-Tyrosine Modification (GO:0018212),5.603050756686415e-13,1.1753955365137724e-10,1200.03,10,SYK;FLT3;SRC;KDR;BTK;TEK;JAK2;JAK3;EGFR;PTK2
GO_BP,Regulation Of Inflammatory Response (GO:0050727),6.70716558269714e-13,1.26631286201322e-10,393.63,16,APP;MMP3;ALOX15;GBA1;AHR;PTGS2;MMP9;IL2;ALOX5;NLRP3;PPARG;TEK;PPARA;JAK2;ELANE;SNCA
