library,term,pval,adj_pval,combined_score,n_genes,genes
Reactome,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,4.2433917009590073e-20,1.9052828737305942e-17,1684.62,17,MAOA;MMP1;MMP2;ALOX15;MMP3;PIK3R1;PTGS2;HIF1A;MMP9;ALOX5;BCL2;AKT1;STAT6;JAK2;TP53;JAK3;MCL1
Reactome,Signaling By Interleukins R-HSA-449147,7.248061141674653e-19,1.6271897263059594e-16,549.83,26,APP;MAOA;ALOX15;PIK3R1;PTGS2;HIF1A;PSMB5;ALOX5;AKT1;MAPK1;STAT6;JAK2;JAK3;MCL1;SYK;MMP1;MMP2;MMP3;PRKCA;MMP9;NFKB1;IL2;CREB1;PIK3CA;BCL2;TP53
KEGG,Lipid and atherosclerosis,2.0506814452813403e-17,9.597189163916671e-16,756.05,19,GSK3B;MMP1;SRC;MMP3;PRKCA;PIK3R1;MMP9;NFKB1;PTK2;CYP2C9;PIK3CA;CYP1A1;BCL2;AKT1;NLRP3;MAPK1;PPARG;JAK2;TP53
Reactome,Cytokine Signaling In Immune System R-HSA-1280215,3.2058581501809737e-15,4.1126580269464487e-13,288.12,27,APP;MAOA;FLT3;ALOX15;PIK3R1;PTGS2;HIF1A;PSMB5;ALOX5;AKT1;MAPK1;STAT6;JAK2;JAK3;MCL1;SYK;MMP1;MMP2;MMP3;PRKCA;MMP9;NFKB1;IL2;CREB1;PIK3CA;BCL2;TP53
KEGG,HIF-1 signaling pathway,6.189107410820406e-14,1.114039333947673e-12,791.23,13,CREBBP;SLC2A1;PRKCA;PIK3R1;HIF1A;NFKB1;EGFR;IGF1R;PIK3CA;BCL2;AKT1;MAPK1;TEK
KEGG,Chemokine signaling pathway,3.683523186265425e-13,4.5365496083479446e-12,473.41,15,ITK;GSK3B;SRC;BRAF;PIK3R1;NFKB1;PTK2;PIK3CA;CXCR1;GRK6;AKT1;MAPK1;JAK2;CCR4;JAK3
GO_BP,Regulation Of Inflammatory Response (GO:0050727),6.70716558269714e-13,1.26631286201322e-10,393.63,16,APP;MMP3;ALOX15;GBA1;AHR;PTGS2;MMP9;IL2;ALOX5;NLRP3;PPARG;TEK;PPARA;JAK2;ELANE;SNCA
KEGG,Fluid shear stress and atherosclerosis,2.9148800738575813e-11,2.1315060540083564e-10,435.44,12,PIK3CA;SRC;MMP2;KDR;BCL2;AKT1;CTNNB1;PIK3R1;TP53;MMP9;NFKB1;PTK2
KEGG,VEGF signaling pathway,5.341434349394614e-11,3.471932327106499e-10,789.19,9,PIK3CA;SRC;KDR;AKT1;MAPK1;PRKCA;PIK3R1;PTGS2;PTK2
Reactome,Arachidonic Acid Metabolism R-HSA-2142753,5.341434349394614e-11,2.664782247642424e-09,789.19,9,CYP2C9;ALOX5;ALOX15;CYP1A2;CYP1A1;ALOX12;CYP2C19;PTGS2;PTGS1
