source,target,string_score
CFTR,EGFR,0.408
CFTR,SRC,0.416
CFTR,PSMB5,0.433
CFTR,TP53,0.438
CFTR,SMN1,0.475
CFTR,SNCA,0.527
CFTR,ELANE,0.532
CFTR,ABCB1,0.572
CFTR,CTNNB1,0.581
CFTR,CA2,0.657
CFTR,ABCG2,0.733
HSD17B2,ESR1,0.514
HSD17B2,ESR2,0.574
HSD17B2,UGT1A1,0.701
HSD17B2,CYP3A4,0.932
HSD17B2,CYP1A1,0.962
HSD17B2,CYP19A1,0.966
MAPK1,KDR,0.404
MAPK1,MMP2,0.408
MAPK1,IL2,0.411
MAPK1,ALK,0.472
MAPK1,LMNA,0.496
MAPK1,MMP3,0.5
MAPK1,APEX1,0.513
MAPK1,AR,0.527
MAPK1,PKM,0.535
MAPK1,PTK2,0.551
MAPK1,EGFR,0.612
MAPK1,SNCA,0.627
MAPK1,NEK2,0.656
MAPK1,PIK3R1,0.659
MAPK1,MMP9,0.684
MAPK1,CDK1,0.693
MAPK1,PPARG,0.736
MAPK1,CTNNB1,0.736
MAPK1,MCL1,0.74
MAPK1,GSK3B,0.742
MAPK1,PTGS2,0.78
MAPK1,NFKB1,0.79
MAPK1,JAK2,0.794
MAPK1,CREBBP,0.803
MAPK1,PIK3CA,0.822
MAPK1,APP,0.827
MAPK1,PRKCA,0.931
MAPK1,SRC,0.932
MAPK1,ESR2,0.948
MAPK1,BRAF,0.949
MAPK1,MAPT,0.952
MAPK1,DAPK1,0.956
MAPK1,CREB1,0.962
MAPK1,BCL2,0.969
MAPK1,HIF1A,0.985
MAPK1,ESR1,0.987
MAPK1,AKT1,0.988
MAPK1,TP53,0.998
APEX1,CDK4,0.412
APEX1,MCL1,0.412
APEX1,ABCB1,0.423
APEX1,KDM1A,0.44
APEX1,PKM,0.473
APEX1,CREB1,0.645
APEX1,BCL2,0.65
APEX1,ESR1,0.679
APEX1,SIRT6,0.708
APEX1,HIF1A,0.782
APEX1,TP53,0.944
